Date,Open,High,Low,Close,Volume
2015-01-01,249.81604753894499,255.0501612136631,238.37612997327312,252.78118662050142,327997
2015-01-02,480.2857225639665,485.2252985454065,464.17707597796675,473.7334498060698,226417
2015-01-03,392.797576724562,410.92266833498275,377.5943581287588,400.2454679916583,216585
2015-01-04,339.46339367881467,344.4543176758048,336.3853955849392,341.7257184601995,654634
2015-01-05,162.40745617697462,167.84645069954723,159.42246678214514,155.5515338481137,319356
2015-01-06,162.39780813448107,177.58577338284033,157.0343207795828,171.64456928410522,485296
2015-01-07,123.23344486727979,132.2282417162906,116.01195034045904,123.6007541339862,998201
2015-01-08,446.47045830997405,462.00466944907765,438.3013466818044,437.92842734740714,726679
2015-01-09,340.4460046972835,341.75332784857125,326.85206036061663,342.98266278558486,584600
2015-01-10,383.2290311184182,392.9804549918859,382.0954224751015,378.29300925867443,546742
2015-01-11,108.23379771832097,108.90606972198663,107.54034363379964,114.30766675586702,959575
2015-01-12,487.96394086479773,489.21700493390483,480.12572960591956,494.32038233612155,923219
2015-01-13,432.9770563201687,451.1058053870569,419.0337824774091,442.5560034372619,920015
2015-01-14,184.93564427131048,187.72055169366237,181.06693741218083,184.97303489180055,243635
2015-01-15,172.72998688284025,183.3784005283446,159.89989725771522,171.829124477395,277132
2015-01-16,173.36180394137352,181.58371599338764,168.16524118256754,178.43131605030314,360609
2015-01-17,221.69689718381508,228.64376370899194,203.97517500754475,214.34631031065362,746231
2015-01-18,309.9025726528952,327.89923956664063,291.98877376756286,310.84088292875765,869822
2015-01-19,272.7780074568463,273.21447539235606,266.83226337121977,273.70295945946333,789050
2015-01-20,216.49165607921677,229.76744980272855,211.89178099995195,208.28111853542453,473377
2015-01-21,344.74115788895176,364.00904657322275,336.51507844762716,343.10083959909,325784
2015-01-22,155.79754426081672,167.00090793005356,150.98691255721374,162.86324023216076,114925
2015-01-23,216.85785941408727,235.5943086547491,203.4101825482532,223.98093185398048,842147
2015-01-24,246.5447373174767,247.58989490319718,230.02344362651098,238.52949061587032,183184
2015-01-25,282.4279936868144,290.8038600682976,268.96615106859,274.242411341771,700803
2015-01-26,414.07038455720544,419.2735403764465,397.58337561221845,409.32429409724415,299330
2015-01-27,179.8695128633439,194.4859321629585,171.92966961919444,187.3648341144238,760715
2015-01-28,305.69377536544465,325.3197171753896,302.56743595126744,298.2718270669146,408213
2015-01-29,336.965827544817,342.09642879370193,322.20680859686513,341.3657635973659,849695
2015-01-30,118.58016508799909,131.66365711748057,111.37067498516801,110.60347748026116,200854
2015-01-31,343.01794076057536,346.97989341577016,329.5925242559927,345.4806978355319,940903
2015-02-01,168.2096494749166,179.5162545663488,162.7967706352813,165.3309954572995,394849
2015-02-02,126.0206371941118,135.2992869278785,124.39604449797835,131.79891645342914,274981
2015-02-03,479.5542149013333,498.99432149396404,459.70257899157804,474.22802387784054,319678
2015-02-04,486.25281322982374,498.42335868375307,483.1287830712118,489.03684981762297,228501
2015-02-05,423.35893924658444,430.3490666883208,403.5905193673148,418.07258993810217,216361
